Log start on,2019-08-14 18:44:18
Feature,Gyroscope
Nodes,SWAP001 @30204D, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps),
14/08/2019 18:44:18.869,86,SWAP001 @30204D,667373,DDFBF1F99EFF,-105.9,-155.1,-9.8,
14/08/2019 18:44:18.881,98,SWAP001 @30204D,667393,28FECDF556FC,-47.2,-261.1,-93.8,
14/08/2019 18:44:18.881,98,SWAP001 @30204D,667403,6DFFDAF3A3FB,-14.7,-311.0,-111.7,
14/08/2019 18:44:18.881,98,SWAP001 @30204D,667413,510075F2C7FB,8.1,-346.7,-108.1,
14/08/2019 18:44:18.884,101,SWAP001 @30204D,667443,8C02B6EF11FD,65.2,-417.0,-75.1,
14/08/2019 18:44:18.871,88,SWAP001 @30204D,667383,BBFC16F8F8FD,-83.7,-202.6,-52.0,
14/08/2019 18:44:18.871,99,SWAP001 @30204D,667423,08014CF156FC,26.4,-376.4,-93.8,
14/08/2019 18:44:18.920,137,SWAP001 @30204D,667453,990314EF3CFD,92.1,-433.2,-70.8,
14/08/2019 18:44:18.920,137,SWAP001 @30204D,667473,A104BAED8EFD,118.5,-467.8,-62.6,
14/08/2019 18:44:18.920,137,SWAP001 @30204D,667463,80046CEE61FD,115.2,-450.0,-67.1,
14/08/2019 18:44:18.921,138,SWAP001 @30204D,667483,3303A0ECF6FD,81.9,-496.0,-52.2,
14/08/2019 18:44:18.959,176,SWAP001 @30204D,667493,6502F8EB30FE,61.3,-512.8,-46.4,
14/08/2019 18:44:18.959,176,SWAP001 @30204D,667503,C80171EB53FE,45.6,-526.3,-42.9,
14/08/2019 18:44:18.960,177,SWAP001 @30204D,667513,100121EB67FE,27.2,-534.3,-40.9,
14/08/2019 18:44:18.960,177,SWAP001 @30204D,667523,C7FF70EBA0FE,-5.7,-526.4,-35.2,
14/08/2019 18:44:18.962,179,SWAP001 @30204D,667533,7FFE73ECF2FE,-38.5,-500.5,-27.0,
14/08/2019 18:44:19.005,222,SWAP001 @30204D,667573,1B0268F2A601,53.9,-348.0,42.2,
14/08/2019 18:44:19.005,222,SWAP001 @30204D,667563,F00076F0FE00,24.0,-397.8,25.4,
14/08/2019 18:44:19.005,222,SWAP001 @30204D,667553,2800F9EEC8FF,4.0,-435.9,-5.6,
14/08/2019 18:44:19.004,221,SWAP001 @30204D,667543,07FFC9ED2DFF,-24.9,-466.3,-21.1,
14/08/2019 18:44:19.048,265,SWAP001 @30204D,667603,93002BFA71FD,14.7,-149.3,-65.5,
14/08/2019 18:44:19.048,265,SWAP001 @30204D,667583,2703A0F45801,80.7,-291.2,34.4,
14/08/2019 18:44:19.048,265,SWAP001 @30204D,667593,530224F7BDFF,59.5,-226.8,-6.7,
14/08/2019 18:44:19.049,266,SWAP001 @30204D,667613,01008DFD42FD,0.1,-62.7,-70.2,
14/08/2019 18:44:19.050,267,SWAP001 @30204D,667623,4C00D200E6FE,7.6,21.0,-28.2,
14/08/2019 18:44:19.093,310,SWAP001 @30204D,667633,10014A032C00,27.2,84.2,4.4,
14/08/2019 18:44:19.097,314,SWAP001 @30204D,667643,AC00F304A400,17.2,126.7,16.4,
14/08/2019 18:44:19.097,314,SWAP001 @30204D,667663,C9048D0A65F9,122.5,270.1,-169.1,
14/08/2019 18:44:19.097,314,SWAP001 @30204D,667653,79FFF204BBFF,-13.5,126.6,-6.9,
14/08/2019 18:44:19.140,357,SWAP001 @30204D,667683,6AFBD0118C05,-117.4,456.0,142.0,
14/08/2019 18:44:19.139,356,SWAP001 @30204D,667673,53F72416D1FD,-222.1,566.8,-55.9,
14/08/2019 18:44:19.141,358,SWAP001 @30204D,667713,18F7470D93FF,-228.0,339.9,-10.9,
14/08/2019 18:44:19.141,358,SWAP001 @30204D,667703,73F8030BEEF8,-193.3,281.9,-181.0,
14/08/2019 18:44:19.141,357,SWAP001 @30204D,667693,DC004B0BAEFE,22.0,289.1,-33.8,
14/08/2019 18:44:19.182,399,SWAP001 @30204D,667723,17FC110AEBFE,-100.1,257.7,-27.7,
14/08/2019 18:44:19.183,400,SWAP001 @30204D,667753,8703120768FF,90.3,181.0,-15.2,
14/08/2019 18:44:19.182,399,SWAP001 @30204D,667733,4CFF80090000,-18.0,243.2,0.0,
14/08/2019 18:44:19.182,399,SWAP001 @30204D,667743,20025008C1FF,54.4,212.8,-6.3,
14/08/2019 18:44:19.226,443,SWAP001 @30204D,667763,CBFF3706EDFF,-5.3,159.1,-1.9,
14/08/2019 18:44:19.274,491,SWAP001 @30204D,667773,A0FCDD051501,-86.4,150.1,27.7,
14/08/2019 18:44:19.274,491,SWAP001 @30204D,667813,29FE2C031201,-47.1,81.2,27.4,
14/08/2019 18:44:19.274,491,SWAP001 @30204D,667803,71FEB103E100,-39.9,94.5,22.5,
14/08/2019 18:44:19.274,491,SWAP001 @30204D,667783,43001605E200,6.7,130.2,22.6,
14/08/2019 18:44:19.274,491,SWAP001 @30204D,667793,BE023704EAFF,70.2,107.9,-2.2,
14/08/2019 18:44:19.278,495,SWAP001 @30204D,667823,5F009F022701,9.5,67.1,29.5,
14/08/2019 18:44:19.278,495,SWAP001 @30204D,667833,3C016102AB01,31.6,60.9,42.7,
14/08/2019 18:44:19.317,534,SWAP001 @30204D,667853,6C048C02A201,113.2,65.2,41.8,
14/08/2019 18:44:19.317,534,SWAP001 @30204D,667873,9A07A2024F00,194.6,67.4,7.9,
14/08/2019 18:44:19.317,534,SWAP001 @30204D,667863,6D06A002AB00,164.5,67.2,17.1,
14/08/2019 18:44:19.319,536,SWAP001 @30204D,667883,DF06DF021F01,175.9,73.5,28.7,
14/08/2019 18:44:19.320,537,SWAP001 @30204D,667893,1E0442037501,105.4,83.4,37.3,
14/08/2019 18:44:19.361,578,SWAP001 @30204D,667903,A8006D03F200,16.8,87.7,24.2,
14/08/2019 18:44:19.363,580,SWAP001 @30204D,667913,FAFD4B038A00,-51.8,84.3,13.8,
14/08/2019 18:44:19.363,580,SWAP001 @30204D,667923,14FC11033C00,-100.4,78.5,6.0,
14/08/2019 18:44:19.363,580,SWAP001 @30204D,667933,5BFABB02DBFF,-144.5,69.9,-3.7,
14/08/2019 18:44:19.406,623,SWAP001 @30204D,667943,13F99B026FFF,-177.3,66.7,-14.5,
14/08/2019 18:44:19.406,623,SWAP001 @30204D,667953,F0F92B034BFF,-155.2,81.1,-18.1,
14/08/2019 18:44:19.407,624,SWAP001 @30204D,667963,D9FBDF031200,-106.3,99.1,1.8,
14/08/2019 18:44:19.408,625,SWAP001 @30204D,667983,16FE07066F00,-49.0,154.3,11.1,
14/08/2019 18:44:19.407,625,SWAP001 @30204D,667973,E7FC20057E00,-79.3,131.2,12.6,
14/08/2019 18:44:19.455,672,SWAP001 @30204D,668013,AEFE47099400,-33.8,237.5,14.8,
14/08/2019 18:44:19.455,672,SWAP001 @30204D,668023,9AFE900AF5FF,-35.8,270.4,-1.1,
14/08/2019 18:44:19.454,671,SWAP001 @30204D,667993,22FCDA05B700,-99.0,149.8,18.3,
14/08/2019 18:44:19.455,672,SWAP001 @30204D,668003,1AFC65089500,-99.8,214.9,14.9,
14/08/2019 18:44:19.497,714,SWAP001 @30204D,668043,25FCA50A4600,-98.7,272.5,7.0,
14/08/2019 18:44:19.497,714,SWAP001 @30204D,668053,72FAD80A7900,-142.2,277.6,12.1,
14/08/2019 18:44:19.496,713,SWAP001 @30204D,668033,3AFE850AD8FF,-45.4,269.3,-4.0,
14/08/2019 18:44:19.498,715,SWAP001 @30204D,668073,45FBAD0A2701,-121.1,273.3,29.5,
14/08/2019 18:44:19.498,715,SWAP001 @30204D,668063,50FAE90AED00,-145.6,279.3,23.7,
14/08/2019 18:44:19.543,760,SWAP001 @30204D,668083,FBFB050AE400,-102.9,256.5,22.8,
14/08/2019 18:44:19.544,761,SWAP001 @30204D,668093,5FFCA8098700,-92.9,247.2,13.5,
14/08/2019 18:44:19.547,764,SWAP001 @30204D,668113,23FF55088300,-22.1,213.3,13.1,
14/08/2019 18:44:19.545,762,SWAP001 @30204D,668103,50FD41099D00,-68.8,236.9,15.7,
14/08/2019 18:44:19.589,806,SWAP001 @30204D,668133,6E01E804DA00,36.6,125.6,21.8,
14/08/2019 18:44:19.590,807,SWAP001 @30204D,668153,82FF39015B01,-12.6,31.3,34.7,
14/08/2019 18:44:19.587,804,SWAP001 @30204D,668123,070119078800,26.3,181.7,13.6,
14/08/2019 18:44:19.590,807,SWAP001 @30204D,668163,7EFF4AFFFC01,-13.0,-18.2,50.8,
14/08/2019 18:44:19.589,806,SWAP001 @30204D,668143,9A000503F600,15.4,77.3,24.6,
14/08/2019 18:44:19.632,849,SWAP001 @30204D,668183,B500BCFA5102,18.1,-134.8,59.3,
14/08/2019 18:44:19.633,850,SWAP001 @30204D,668203,4201F2F44800,32.2,-283.0,7.2,
14/08/2019 18:44:19.632,849,SWAP001 @30204D,668173,75006BFD4502,11.7,-66.1,58.1,
14/08/2019 18:44:19.633,850,SWAP001 @30204D,668193,C000C9F63101,19.2,-235.9,30.5,
14/08/2019 18:44:19.677,894,SWAP001 @30204D,668223,5901E9F1EEFF,34.5,-360.7,-1.8,
14/08/2019 18:44:19.678,895,SWAP001 @30204D,668243,570116F04900,34.3,-407.4,7.3,
14/08/2019 18:44:19.678,895,SWAP001 @30204D,668233,4801EDF02A00,32.8,-385.9,4.2,
14/08/2019 18:44:19.677,894,SWAP001 @30204D,668213,7D0134F3DDFF,38.1,-327.6,-3.5,
14/08/2019 18:44:19.678,895,SWAP001 @30204D,668253,7C0160EF2700,38.0,-425.6,3.9,
14/08/2019 18:44:19.722,939,SWAP001 @30204D,668273,BE024EEE8BFF,70.2,-453.0,-11.7,
14/08/2019 18:44:19.722,939,SWAP001 @30204D,668263,E601D4EEDBFF,48.6,-439.6,-3.7,
